om,yr,mo,dy,date,time,tz,datetime_utc,st,stf,mag,inj,fat,loss,slat,slon,elat,elon,len,wid,ns,sn,f1,f2,f3,f4,fc,hr,hrcode,code,fn
1102,2010,10,21,2010-10-21,16:48:00,America/Chicago,2010-10-21T21:48:00Z,TX,48,0.0,0,0,,31.2061,-101.967,31.2077,-101.954,0.78,75,1,1,461,0,0,0,False,2010-10-21 21:00:00+00:00,20101021 21:00:00+00:00,20101021.21,NLDAS_FORA0125_H.A20101021.2100.002.grb.SUB.nc4
1105,2010,10,21,2010-10-21,18:03:00,America/Chicago,2010-10-21T23:03:00Z,NM,35,0.0,0,0,,33.6624,-104.576,33.6687,-104.57,0.56,50,1,1,5,0,0,0,False,2010-10-21 23:00:00+00:00,20101021 23:00:00+00:00,20101021.23,NLDAS_FORA0125_H.A20101021.2300.002.grb.SUB.nc4
1107,2010,10,24,2010-10-24,14:30:00,America/Chicago,2010-10-24T19:30:00Z,TX,48,0.0,0,0,,33.086,-94.691,33.092,-94.641,2.98,75,1,1,343,67,0,0,False,2010-10-24 19:00:00+00:00,20101024 19:00:00+00:00,20101024.19,NLDAS_FORA0125_H.A20101024.1900.002.grb.SUB.nc4
1109,2010,10,24,2010-10-24,16:43:00,America/Chicago,2010-10-24T21:43:00Z,TX,48,2.0,4,0,1000000.0,32.1949,-96.5548,32.2472,-96.4621,6.51,480,1,1,349,0,0,0,False,2010-10-24 21:00:00+00:00,20101024 21:00:00+00:00,20101024.21,NLDAS_FORA0125_H.A20101024.2100.002.grb.SUB.nc4
1114,2010,10,24,2010-10-24,18:20:00,America/Chicago,2010-10-24T23:20:00Z,OR,41,0.0,0,0,,42.6711,-124.468,42.6749,-124.456,1.0,50,1,1,15,0,0,0,False,2010-10-24 23:00:00+00:00,20101024 23:00:00+00:00,20101024.23,NLDAS_FORA0125_H.A20101024.2300.002.grb.SUB.nc4
1117,2010,10,24,2010-10-24,23:40:00,America/Chicago,2010-10-25T04:40:00Z,TN,47,1.0,0,0,100000.0,35.286,-86.3304,35.2975,-86.3155,1.15,200,1,1,127,0,0,0,False,2010-10-25 04:00:00+00:00,20101025 04:00:00+00:00,20101025.04,NLDAS_FORA0125_H.A20101025.0400.002.grb.SUB.nc4
1119,2010,10,25,2010-10-25,02:23:00,America/Chicago,2010-10-25T07:23:00Z,AL,1,0.0,0,0,35000.0,34.3477,-86.4988,34.3514,-86.4831,0.93,100,1,1,95,0,0,0,False,2010-10-25 07:00:00+00:00,20101025 07:00:00+00:00,20101025.07,NLDAS_FORA0125_H.A20101025.0700.002.grb.SUB.nc4
1120,2010,10,25,2010-10-25,02:52:00,America/Chicago,2010-10-25T07:52:00Z,AL,1,0.0,0,0,50000.0,34.583,-85.958,34.5944,-85.9223,2.17,100,1,1,71,0,0,0,False,2010-10-25 07:00:00+00:00,20101025 07:00:00+00:00,20101025.07,NLDAS_FORA0125_H.A20101025.0700.002.grb.SUB.nc4
1124,2010,10,25,2010-10-25,04:00:00,America/Chicago,2010-10-25T09:00:00Z,TN,47,0.0,0,0,50000.0,35.12,-85.15,35.12,-85.15,0.1,40,1,1,65,0,0,0,False,2010-10-25 09:00:00+00:00,20101025 09:00:00+00:00,20101025.09,NLDAS_FORA0125_H.A20101025.0900.002.grb.SUB.nc4
1125,2010,10,25,2010-10-25,04:17:00,America/Chicago,2010-10-25T09:17:00Z,AL,1,1.0,0,0,,30.6706,-88.1535,30.6717,-88.1333,1.2,150,1,1,97,0,0,0,False,2010-10-25 09:00:00+00:00,20101025 09:00:00+00:00,20101025.09,NLDAS_FORA0125_H.A20101025.0900.002.grb.SUB.nc4
1127,2010,10,26,2010-10-26,04:41:00,America/Chicago,2010-10-26T09:41:00Z,IL,17,1.0,0,0,100000.0,41.8319,-89.1685,41.8471,-89.1621,1.1,50,1,1,103,0,0,0,False,2010-10-26 09:00:00+00:00,20101026 09:00:00+00:00,20101026.09,NLDAS_FORA0125_H.A20101026.0900.002.grb.SUB.nc4
1129,2010,10,26,2010-10-26,06:23:00,America/Chicago,2010-10-26T11:23:00Z,IL,17,0.0,0,0,4000.0,38.4245,-87.8266,38.4372,-87.8055,1.44,50,1,1,185,0,0,0,False,2010-10-26 11:00:00+00:00,20101026 11:00:00+00:00,20101026.11,NLDAS_FORA0125_H.A20101026.1100.002.grb.SUB.nc4
1130,2010,10,26,2010-10-26,06:29:00,America/Chicago,2010-10-26T11:29:00Z,IL,17,1.0,0,0,8000.0,38.5073,-87.7046,38.515,-87.6786,1.5,75,1,1,185,0,0,0,False,2010-10-26 11:00:00+00:00,20101026 11:00:00+00:00,20101026.11,NLDAS_FORA0125_H.A20101026.1100.002.grb.SUB.nc4
1131,2010,10,26,2010-10-26,06:40:00,America/Chicago,2010-10-26T11:40:00Z,IL,17,2.0,2,0,500000.0,41.309,-87.7393,41.3403,-87.7231,2.32,200,1,1,197,0,0,0,False,2010-10-26 11:00:00+00:00,20101026 11:00:00+00:00,20101026.11,NLDAS_FORA0125_H.A20101026.1100.002.grb.SUB.nc4
1132,2010,10,26,2010-10-26,06:47:00,America/Chicago,2010-10-26T11:47:00Z,WI,55,1.0,0,0,100000.0,42.6638,-87.8996,42.669,-87.8952,0.43,100,1,1,59,0,0,0,False,2010-10-26 11:00:00+00:00,20101026 11:00:00+00:00,20101026.11,NLDAS_FORA0125_H.A20101026.1100.002.grb.SUB.nc4
1133,2010,10,26,2010-10-26,06:48:00,America/Chicago,2010-10-26T11:48:00Z,WI,55,1.0,2,0,1000000.0,42.669,-87.8952,42.7285,-87.826,5.4,100,1,1,101,0,0,0,False,2010-10-26 11:00:00+00:00,20101026 11:00:00+00:00,20101026.11,NLDAS_FORA0125_H.A20101026.1100.002.grb.SUB.nc4
1137,2010,10,26,2010-10-26,08:18:00,America/Chicago,2010-10-26T13:18:00Z,IN,18,0.0,0,0,,40.8151,-85.8404,40.8691,-85.7566,5.76,100,1,1,169,0,0,0,False,2010-10-26 13:00:00+00:00,20101026 13:00:00+00:00,20101026.13,NLDAS_FORA0125_H.A20101026.1300.002.grb.SUB.nc4
1138,2010,10,26,2010-10-26,08:20:00,America/Chicago,2010-10-26T13:20:00Z,IN,18,1.0,0,0,,40.4711,-85.5402,40.4801,-85.5222,1.13,100,1,1,53,0,0,0,False,2010-10-26 13:00:00+00:00,20101026 13:00:00+00:00,20101026.13,NLDAS_FORA0125_H.A20101026.1300.002.grb.SUB.nc4
1139,2010,10,26,2010-10-26,08:21:00,America/Chicago,2010-10-26T13:21:00Z,IN,18,0.0,0,0,,40.9997,-85.5999,41.0207,-85.5763,1.9,175,1,1,69,183,0,0,False,2010-10-26 13:00:00+00:00,20101026 13:00:00+00:00,20101026.13,NLDAS_FORA0125_H.A20101026.1300.002.grb.SUB.nc4
