mag,len,wid,TMP,SPFH,PRES,UGRD,VGRD,DLWRF,CAPE,PEVAP,APCP,DSWRF,yr
0.0,0.78,75,305.03003,0.0110528,92842.33,-4.21,3.52,425.94,504.32,0.7305,0.0,335.984,2010
0.0,0.56,50,307.69,0.0102536,91664.9,3.01,3.72,454.71,118.592,0.5762,0.0,191.77,2010
0.0,2.98,75,307.38,0.0108556,91792.58,5.05,3.6,450.19,42.56,0.865,0.0,529.297,2010
2.0,6.51,480,307.38,0.0108556,91792.58,5.05,3.6,450.19,42.56,0.865,0.0,529.297,2010
0.0,1.0,50,306.93,0.011528,91803.92,6.25,4.31,450.19,59.52,0.743,0.0,528.392,2010
1.0,1.15,200,297.62,0.002748,92681.94,0.53,0.95,297.06,0.0,0.0632,0.0,0.0,2010
0.0,0.93,100,297.62,0.002748,92681.94,0.53,0.95,297.06,0.0,0.0632,0.0,0.0,2010
0.0,2.17,100,298.32,0.0104435,92519.1,-2.37,-0.79,381.18,47.04,0.0807,0.0,0.0,2010
0.0,0.1,40,302.71005,0.0102494,92415.42,-3.64,-2.98,438.95,268.288,0.5911,0.0,227.696,2010
1.0,1.2,150,300.26,0.0116087,92654.74,-1.53,-2.46,396.17,640.32,0.5842,0.0,667.124,2010
1.0,1.1,50,298.45,0.0118643,92622.31,-1.55,-1.95,396.17,578.304,0.5842,0.0,538.559,2010
0.0,1.44,50,295.39,0.0117802,92517.41,-1.49,-1.59,348.03,522.688,0.1198,0.0,201.264,2010
1.0,1.5,75,295.39,0.0117802,92517.41,-1.49,-1.59,348.03,522.688,0.1198,0.0,201.264,2010
2.0,2.32,200,292.91,0.0111007,92370.4,-1.32,-1.9,348.04,535.552,0.0124,0.0,0.0,2010
1.0,0.43,100,292.91,0.0111007,92370.4,-1.32,-1.9,348.04,535.552,0.0124,0.0,0.0,2010
1.0,5.4,100,303.21,0.0101533,92359.32,-1.49,0.22,421.83,450.24,0.6682,0.0,539.903,2010
0.0,5.76,100,302.77,0.0102784,92436.68,-0.88,-0.08,421.83,394.112,0.6682,0.0,558.381,2010
1.0,1.13,100,302.77,0.0102784,92436.68,-0.88,-0.08,421.83,394.112,0.6682,0.0,558.381,2010
0.0,1.9,175,302.77,0.0102784,92436.68,-0.88,-0.08,421.83,394.112,0.6682,0.0,558.381,2010
0.0,0.47,50,309.35,0.0107775,92095.68,-2.48,6.72,406.49,670.592,0.9706,0.0,232.96,2010
0.0,0.13,50,310.47,0.0105003,92247.26,-2.26,6.17,438.04,402.432,1.2498,0.0,819.738,2010
1.0,2.44,130,309.06,0.012048,92434.74,-1.88,6.85,441.87,752.128,1.2498,0.0,897.631,2010
1.0,0.67,75,310.1,0.010104,92147.76,-2.74,5.93,394.28,22.272,0.9783,0.0,248.56,2010
0.0,0.93,30,310.19,0.0109918,92283.78,-1.42,6.22,444.88,674.816,1.2378,0.0,886.842,2010
1.0,2.19,150,309.97003,0.0100285,92213.7,-0.71,5.97,437.3,363.264,1.2796,0.0,902.134,2010
0.0,1.8,50,309.97003,0.0100285,92213.7,-0.71,5.97,437.3,363.264,1.2796,0.0,902.134,2010
0.0,0.18,30,311.16,0.0076307,92186.34,-2.52,3.59,430.33,23.104,0.9901,0.0,475.447,2010
0.0,0.09,10,305.59,0.0093005,92388.09,-0.74,6.29,403.23,0.512,1.0202,0.0,633.112,2010
1.0,1.49,60,299.06,0.0096695,92233.53,-1.3,5.46,353.39,0.0,0.3499,0.0,128.88,2010
0.0,1.12,20,299.06,0.0096695,92233.53,-1.3,5.46,353.39,0.0,0.3499,0.0,128.88,2010
0.0,3.95,200,299.06,0.0096695,92233.53,-1.3,5.46,353.39,0.0,0.3499,0.0,128.88,2010
0.0,5.51,200,297.64,0.0095866,92182.19,-1.53,4.91,352.99,12.544,0.1292,0.0,0.0,2010
0.0,2.23,30,297.64,0.0095866,92182.19,-1.53,4.91,352.99,12.544,0.1292,0.0,0.0,2010
1.0,0.13,40,297.64,0.0095866,92182.19,-1.53,4.91,352.99,12.544,0.1292,0.0,0.0,2010
1.0,2.0,50,297.64,0.0095866,92182.19,-1.53,4.91,352.99,12.544,0.1292,0.0,0.0,2010
0.0,0.8,150,299.1,0.009457,92202.16,-1.69,5.09,352.99,37.632,0.1156,0.0,0.0,2010
1.0,0.7,220,299.1,0.009457,92202.16,-1.69,5.09,352.99,37.632,0.1156,0.0,0.0,2010
0.0,0.46,200,299.1,0.009457,92202.16,-1.69,5.09,352.99,37.632,0.1156,0.0,0.0,2010
0.0,0.4,20,299.1,0.009457,92202.16,-1.69,5.09,352.99,37.632,0.1156,0.0,0.0,2010
2.0,1.2,100,300.51,0.0094977,92231.08,-1.6,4.14,363.69,72.576,0.1156,0.0,0.0,2010
0.0,0.45,40,300.51,0.0094977,92231.08,-1.6,4.14,363.69,72.576,0.1156,0.0,0.0,2010
0.0,0.27,30,302.13,0.0095117,92214.39,-1.48,3.5,375.38,113.408,0.106,0.0,0.0,2010
1.0,2.25,200,302.13,0.0095117,92214.39,-1.48,3.5,375.38,113.408,0.106,0.0,0.0,2010
0.0,0.42,75,302.13,0.0095117,92214.39,-1.48,3.5,375.38,113.408,0.106,0.0,0.0,2010
0.0,1.79,75,302.13,0.0095117,92214.39,-1.48,3.5,375.38,113.408,0.106,0.0,0.0,2010
0.0,5.44,200,303.96,0.0094983,92150.78,-1.35,3.18,375.38,160.128,0.3002,0.0,0.0,2010
0.0,1.25,100,303.96,0.0094983,92150.78,-1.35,3.18,375.38,160.128,0.3002,0.0,0.0,2010
1.0,0.56,50,303.96,0.0094983,92150.78,-1.35,3.18,375.38,160.128,0.3002,0.0,0.0,2010
1.0,11.36,200,303.96,0.0094983,92150.78,-1.35,3.18,375.38,160.128,0.3002,0.0,0.0,2010
1.0,2.87,50,309.9,0.0072645,92433.78,-1.59,1.32,427.5,16.96,1.2519,0.0,906.498,2010
0.0,4.66,100,309.21,0.0080604,92412.65,-2.23,-2.82,431.79,60.224,1.2543,0.0,903.405,2010
0.0,2.87,50,312.77,0.0092899,91238.6,-0.72,4.71,446.59,86.336,0.9131,0.0,605.831,2010
1.0,0.9,200,312.28,0.00946,91831.19,-1.63,5.19,445.3,218.112,1.303,0.0,860.493,2010
0.0,0.25,50,312.28,0.00946,91831.19,-1.63,5.19,445.3,218.112,1.303,0.0,860.493,2010
2.0,32.02,800,313.8,0.0077296,91698.02,-0.12,5.22,428.23,0.704,1.2999,0.0,783.996,2010
2.0,18.55,500,313.8,0.0077296,91698.02,-0.12,5.22,428.23,0.704,1.2999,0.0,783.996,2010
2.0,2.77,200,313.8,0.0077296,91698.02,-0.12,5.22,428.23,0.704,1.2999,0.0,783.996,2010
3.0,0.01,1100,298.35,0.012322,91716.56,-0.75,3.8,362.75,323.072,0.0524,0.0,0.0,2010
0.0,17.05,200,302.05,0.010732,91661.44,-0.94,3.31,380.29,208.192,0.0767,0.0,0.0,2010
0.0,1.0,5,302.05,0.010732,91661.44,-0.94,3.31,380.29,208.192,0.0767,0.0,0.0,2010
0.0,0.39,30,307.54,0.0108225,91630.33,-0.93,3.13,407.73,363.008,0.1873,0.0,31.024,2010
1.0,0.43,250,307.54,0.0108225,91630.33,-0.93,3.13,407.73,363.008,0.1873,0.0,31.024,2010
1.0,1.73,150,309.88,0.0112213,91680.97,-1.09,3.34,448.41,483.52,0.842,0.0,412.759,2010
2.0,18.1,200,310.61,0.0114724,91718.19,-1.14,3.75,448.41,537.024,1.1673,0.0,773.662,2010
1.0,5.45,100,308.15,0.0116653,91852.34,-1.04,4.21,451.06,261.504,0.9155,0.0,837.055,2010
0.0,0.87,125,308.15,0.0116653,91852.34,-1.04,4.21,451.06,261.504,0.9155,0.0,837.055,2010
1.0,10.57,150,308.15,0.0116653,91852.34,-1.04,4.21,451.06,261.504,0.9155,0.0,837.055,2010
1.0,2.06,75,306.89,0.0104463,91995.74,-2.76,5.64,414.79,554.24,0.995,0.0,744.118,2010
1.0,0.85,200,303.37,0.0105561,91839.98,-2.0,4.71,414.79,199.808,0.3125,0.0,440.164,2010
0.0,2.78,75,306.21,0.0097554,92393.44,-1.55,1.96,407.56,224.768,0.9169,0.0,753.11,2010
0.0,0.34,25,307.35004,0.0094469,92474.56,-1.34,-1.05,437.93,245.632,0.8684,0.0,851.669,2010
1.0,2.37,100,307.35004,0.0094469,92474.56,-1.34,-1.05,437.93,245.632,0.8684,0.0,851.669,2010
